Time(s), Pwr_W1(W), Pwr_W2(W), Pwr_W3(W)
0.0, 0.0000, 0.0000, 0.0000
0.5, 0.0000, 0.0008, 0.0001
1.0, 0.0002, 0.0011, 0.0005
1.5, 0.0003, 0.0013, 0.0007
2.0, 0.0004, 0.0014, 0.0009
2.5, 0.0006, 0.0016, 0.0010
3.0, 0.0007, 0.0017, 0.0012
3.5, 0.0008, 0.0018, 0.0013
4.0, 0.0009, 0.0018, 0.0014
4.5, 0.0010, 0.0019, 0.0015
5.0, 0.0010, 0.0020, 0.0016
5.5, 0.0011, 0.0020, 0.0017
6.0, 0.0012, 0.0020, 0.0018
6.5, 0.0013, 0.0021, 0.0019
7.0, 0.0014, 0.0021, 0.0019
7.5, 0.0015, 0.0022, 0.0020
8.0, 0.0015, 0.0022, 0.0021
8.5, 0.0016, 0.0022, 0.0022
9.0, 0.0017, 0.0022, 0.0022
9.5, 0.0017, 0.0023, 0.0023
10.0, 0.0018, 0.0023, 0.0024
10.5, 0.0019, 0.0023, 0.0024
11.0, 0.0019, 0.0023, 0.0025
11.5, 0.0020, 0.0023, 0.0025
12.0, 0.0020, 0.0024, 0.0026
12.5, 0.0021, 0.0024, 0.0027
13.0, 0.0022, 0.0024, 0.0027
13.5, 0.0022, 0.0024, 0.0028
14.0, 0.0023, 0.0024, 0.0028
14.5, 0.0023, 0.0024, 0.0029
15.0, 0.0024, 0.0024, 0.0029
15.5, 0.0024, 0.0025, 0.0030
16.0, 0.0025, 0.0025, 0.0030
16.5, 0.0025, 0.0025, 0.0031
17.0, 0.0026, 0.0025, 0.0031
17.5, 0.0026, 0.0025, 0.0032
18.0, 0.0027, 0.0025, 0.0032
18.5, 0.0027, 0.0025, 0.0033
19.0, 0.0028, 0.0025, 0.0033
19.5, 0.0028, 0.0026, 0.0034
20.0, 0.0029, 0.0026, 0.0034
20.5, 0.0029, 0.0026, 0.0035
21.0, 0.0029, 0.0026, 0.0035
21.5, 0.0030, 0.0026, 0.0036
22.0, 0.0030, 0.0026, 0.0036
22.5, 0.0031, 0.0026, 0.0037
23.0, 0.0031, 0.0026, 0.0037
23.5, 0.0031, 0.0027, 0.0037
24.0, 0.0032, 0.0027, 0.0038
24.5, 0.0032, 0.0027, 0.0038
25.0, 0.0033, 0.0027, 0.0039
25.5, 0.0033, 0.0027, 0.0039
26.0, 0.0033, 0.0027, 0.0040
26.5, 0.0034, 0.0027, 0.0040
27.0, 0.0034, 0.0027, 0.0040
27.5, 0.0035, 0.0028, 0.0041
28.0, 0.0035, 0.0028, 0.0041
28.5, 0.0035, 0.0028, 0.0042
29.0, 0.0036, 0.0028, 0.0042
29.5, 0.0036, 0.0028, 0.0042
30.0, 0.0036, 0.0028, 0.0043
30.5, 0.0037, 0.0028, 0.0043
31.0, 0.0037, 0.0029, 0.0044
31.5, 0.0037, 0.0029, 0.0044
32.0, 0.0038, 0.0029, 0.0044
32.5, 0.0038, 0.0029, 0.0045
33.0, 0.0038, 0.0029, 0.0045
33.5, 0.0039, 0.0029, 0.0046
34.0, 0.0039, 0.0029, 0.0046
34.5, 0.0039, 0.0030, 0.0046
35.0, 0.0040, 0.0030, 0.0047
35.5, 0.0040, 0.0030, 0.0047
36.0, 0.0040, 0.0030, 0.0047
36.5, 0.0041, 0.0030, 0.0048
37.0, 0.0041, 0.0030, 0.0048
37.5, 0.0041, 0.0030, 0.0049
38.0, 0.0042, 0.0030, 0.0049
38.5, 0.0042, 0.0031, 0.0049
39.0, 0.0042, 0.0031, 0.0050
39.5, 0.0043, 0.0031, 0.0050
40.0, 0.0043, 0.0031, 0.0050
40.5, 0.0043, 0.0031, 0.0051
41.0, 0.0043, 0.0031, 0.0051
41.5, 0.0044, 0.0031, 0.0051
42.0, 0.0044, 0.0032, 0.0052
42.5, 0.0044, 0.0032, 0.0052
43.0, 0.0045, 0.0032, 0.0052
43.5, 0.0045, 0.0032, 0.0053
44.0, 0.0045, 0.0032, 0.0053
44.5, 0.0046, 0.0032, 0.0054
45.0, 0.0046, 0.0032, 0.0054
45.5, 0.0046, 0.0033, 0.0054
46.0, 0.0046, 0.0033, 0.0055
46.5, 0.0047, 0.0033, 0.0055
47.0, 0.0047, 0.0033, 0.0055
47.5, 0.0047, 0.0033, 0.0056
48.0, 0.0048, 0.0033, 0.0056
48.5, 0.0048, 0.0033, 0.0056
49.0, 0.0048, 0.0034, 0.0057
49.5, 0.0048, 0.0034, 0.0057
50.0, 0.0049, 0.0034, 0.0057
50.5, 0.0049, 0.0034, 0.0058
51.0, 0.0049, 0.0034, 0.0058
51.5, 0.0050, 0.0034, 0.0058
52.0, 0.0050, 0.0034, 0.0059
52.5, 0.0050, 0.0035, 0.0059
53.0, 0.0050, 0.0035, 0.0059
53.5, 0.0051, 0.0035, 0.0060
54.0, 0.0051, 0.0035, 0.0060
54.5, 0.0051, 0.0035, 0.0060
55.0, 0.0051, 0.0035, 0.0061
55.5, 0.0052, 0.0035, 0.0061
56.0, 0.0052, 0.0036, 0.0061
56.5, 0.0052, 0.0036, 0.0062
57.0, 0.0053, 0.0036, 0.0062
57.5, 0.0053, 0.0036, 0.0062
58.0, 0.0053, 0.0036, 0.0063
58.5, 0.0053, 0.0036, 0.0063
59.0, 0.0054, 0.0036, 0.0063
59.5, 0.0054, 0.0037, 0.0064
60.0, 0.0054, 0.0037, 0.0064
60.5, 0.0054, 0.0037, 0.0064
61.0, 0.0055, 0.0037, 0.0065
61.5, 0.0055, 0.0037, 0.0065
62.0, 0.0055, 0.0037, 0.0065
62.5, 0.0055, 0.0037, 0.0065
63.0, 0.0056, 0.0038, 0.0066
63.5, 0.0056, 0.0038, 0.0066
64.0, 0.0056, 0.0038, 0.0066
64.5, 0.0056, 0.0038, 0.0067
65.0, 0.0057, 0.0038, 0.0067
65.5, 0.0057, 0.0038, 0.0067
66.0, 0.0057, 0.0038, 0.0068
66.5, 0.0057, 0.0039, 0.0068
67.0, 0.0058, 0.0039, 0.0068
67.5, 0.0058, 0.0039, 0.0069
68.0, 0.0058, 0.0039, 0.0069
68.5, 0.0058, 0.0039, 0.0069
69.0, 0.0059, 0.0039, 0.0070
69.5, 0.0059, 0.0039, 0.0070
70.0, 0.0059, 0.0040, 0.0070
70.5, 0.0059, 0.0040, 0.0070
71.0, 0.0060, 0.0040, 0.0071
71.5, 0.0060, 0.0040, 0.0071
72.0, 0.0060, 0.0040, 0.0071
72.5, 0.0060, 0.0040, 0.0072
73.0, 0.0061, 0.0040, 0.0072
73.5, 0.0061, 0.0040, 0.0072
74.0, 0.0061, 0.0041, 0.0073
74.5, 0.0061, 0.0041, 0.0073
75.0, 0.0062, 0.0041, 0.0073
75.5, 0.0062, 0.0041, 0.0074
76.0, 0.0062, 0.0041, 0.0074
76.5, 0.0062, 0.0041, 0.0074
77.0, 0.0063, 0.0041, 0.0074
77.5, 0.0063, 0.0042, 0.0075
78.0, 0.0063, 0.0042, 0.0075
78.5, 0.0063, 0.0042, 0.0075
79.0, 0.0064, 0.0042, 0.0076
79.5, 0.0064, 0.0042, 0.0076
80.0, 0.0064, 0.0042, 0.0076
80.5, 0.0064, 0.0042, 0.0077
81.0, 0.0065, 0.0042, 0.0077
81.5, 0.0065, 0.0043, 0.0077
82.0, 0.0065, 0.0043, 0.0077
82.5, 0.0065, 0.0043, 0.0078
83.0, 0.0066, 0.0043, 0.0078
83.5, 0.0066, 0.0043, 0.0078
84.0, 0.0066, 0.0043, 0.0079
84.5, 0.0066, 0.0043, 0.0079
85.0, 0.0067, 0.0043, 0.0079
85.5, 0.0067, 0.0044, 0.0080
86.0, 0.0067, 0.0044, 0.0080
86.5, 0.0067, 0.0044, 0.0080
87.0, 0.0067, 0.0044, 0.0080
87.5, 0.0068, 0.0044, 0.0081
88.0, 0.0068, 0.0044, 0.0081
88.5, 0.0068, 0.0044, 0.0081
89.0, 0.0068, 0.0044, 0.0082
89.5, 0.0069, 0.0045, 0.0082
90.0, 0.0069, 0.0045, 0.0082
